"V400","V401","V402"
298.39,297.13,296.07
300.22,299.02,296.63
302.08,298.25,296.5
300.4,299.35,296.46
298.83,299.68,296.33
297.92,298.9,296.16
297.57,298.45,296.1
297.54,298.18,296.14
297.26,297.99,296.17
293.43,297.09,296.16
295.52,297.55,296.11
293.72,296.79,296.02
295.25,296.92,296.07
294.6,296.51,296.04
293.55,295.92,295.73
295.72,296.92,295.79
296.44,297.67,296.27
297.6,298.03,296.41
299.63,298.67,296.38
301.8,299.21,296.57
299.58,299.28,296.94
295.93,297.35,296.89
292.35,295.66,296.54
294.07,297.37,296.77
291.88,295.65,296.39
292.5,295.91,296.23
292.26,295.55,295.89
293.04,295.15,295.76
295.2,295.91,295.87
299.55,297.42,296.16
301.59,298.82,296.58
300.88,298.92,296.89
302.91,299.68,297.05
300.87,299.39,297.2
300.61,298.92,297.27
298.93,298.54,297.3
294.76,297.2,297.41
290.83,295.83,297.42
291.04,296.07,297.47
292.59,296.54,297.52
291.7,295.77,297.45
292.93,296.36,297.62
291.78,295.74,297.36
291.93,295.74,297.08
294.79,296.18,296.75
291.94,295.62,296.72
291.31,295.26,296.5
291.81,295.51,296.47
297.64,296.88,296.52
300.1,298.6,296.89
294.62,297.56,296.84
295.3,296.97,296.8
296.02,297.21,296.75
291.68,295.49,296.49
289.66,293.7,296.09
288.11,293.67,295.9
291.21,294.11,295.61
288.58,293.95,295.73
288.68,293.84,295.16
291.46,293.54,294.77
287.46,292.92,294.44
282.66,290.78,293.71
282.79,290.71,293.6
286.59,291.9,293.74
291.11,292.9,293.56
294.52,293.8,293.54
291.75,294.22,293.74
286.4,291.48,293.14
287.08,291.49,293.12
288.13,291.63,293.06
295.7,294.28,293.43
294.2,294.37,293.68
294.09,294.18,293.58
293.53,295.12,294.04
281.92,290.78,293.6
282.28,289.97,293.26
285.28,291.18,293.25
289.49,293.12,293.53
290.81,293.3,293.56
291.41,293.03,293.47
291.55,293.17,293.47
291.74,293.08,293.45
293.61,293.66,293.53
293.01,293.68,293.59
293.63,294.18,293.92
289.81,292.76,293.68
284.65,290.35,293.33
281.76,289.03,292.77
280.11,288.46,292.58
290.02,291.83,292.59
285.09,290.46,292.3
281.15,288.67,291.72
283.8,289.34,291.64
282.4,289.1,291.6
280.95,288.37,291.28
285.4,290.85,291.75
277.19,287.57,291.22
275.91,287.04,291.02
276.56,287.75,291.21
278.34,287.17,290.78
273.59,285.35,290.28
274.24,284.87,290.03
280.38,287.1,290.28
280.99,287.48,290.27
279.96,286.29,289.85
286.01,289.39,290.38
289.1,290.94,290.75
290.57,291.93,290.97
278.91,288.28,290.6
275.53,284.86,289.64
276.23,285.22,289.68
274.83,285.14,289.59
275.57,285.23,289.39
