"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
57,79.4975,80.564,78.368,8,2079-08-22,2079-08-29,233,8,3,0,0,0,0,0,0,78.1167199999999,0.854520547945205,0.881095890410959,0.825205479452055,63.2002975342466,75.3268470588235,"ny"
58,81.149,81.896,80.402,2,2079-09-03,2079-09-04,245,9,2,0,0,0,0,0,0,78.1167199999999,0.897260273972603,0.916712328767123,0.877534246575343,63.2002975342466,75.3268470588235,"ny"
59,82.296,84.4520000000001,78.9619999999999,9,2079-09-09,2079-09-17,251,9,7,0,0,0,0,0,0,78.1167199999999,0.924109589041096,0.961643835616438,0.842465753424658,63.2002975342466,75.3268470588235,"ny"
60,78.3949999999999,78.4399999999999,78.35,2,2079-10-01,2079-10-02,273,10,0,0,0,0,0,0,0,78.1167199999999,0.825753424657534,0.827945205479452,0.824931506849315,63.2002975342466,75.3268470588235,"ny"
1,81.5324,85.9819999999999,78.296,10,2070-06-13,2070-06-22,163,6,7,2,0,0,0,0,1,78.1167199999999,0.906301369863014,0.975890410958904,0.823835616438356,63.2002975342466,75.3268470588235,"nwk"
2,81.4676,84.8659999999999,78.2780000000001,15,2070-06-25,2070-07-09,175,6,12,0,0,0,0,0,0,78.1167199999999,0.904109589041096,0.966301369863014,0.823561643835616,63.2002975342466,75.3268470588235,"nwk"
3,80.6765,81.77,79.214,4,2070-07-11,2070-07-14,191,7,3,0,0,0,0,0,0,78.1167199999999,0.884657534246575,0.910958904109589,0.848493150684931,63.2002975342466,75.3268470588235,"nwk"
4,79.844,80.7260000000001,78.9619999999999,2,2070-07-17,2070-07-18,197,7,1,0,0,0,0,0,0,78.1167199999999,0.860821917808219,0.885205479452055,0.842465753424658,63.2002975342466,75.3268470588235,"nwk"
5,84.7068125,90.392,78.638,32,2070-07-20,2070-08-20,200,7,30,13,2,0,5,3,0,78.1167199999999,0.964383561643836,0.998904109589041,0.834246575342466,63.2002975342466,75.3268470588235,"nwk"
6,79.8131428571428,81.23,78.494,7,2070-08-24,2070-08-30,235,8,4,0,0,0,0,0,0,78.1167199999999,0.86027397260274,0.89972602739726,0.82958904109589,63.2002975342466,75.3268470588235,"nwk"
7,80.1716,81.968,78.17,5,2070-09-01,2070-09-05,243,9,3,0,0,0,0,0,0,78.1167199999999,0.87013698630137,0.917534246575342,0.820547945205479,63.2002975342466,75.3268470588235,"nwk"
8,79.2905,80.294,78.2780000000001,4,2070-09-11,2070-09-14,253,9,2,0,0,0,0,0,0,78.1167199999999,0.84958904109589,0.874794520547945,0.823561643835616,63.2002975342466,75.3268470588235,"nwk"
9,78.758,79.448,78.4039999999999,3,2071-06-26,2071-06-28,176,6,0,0,0,0,0,0,1,78.1167199999999,0.836986301369863,0.853424657534247,0.826027397260274,63.2002975342466,75.3268470588235,"nwk"
10,79.5272,80.294,78.5480000000001,5,2071-07-02,2071-07-06,182,7,1,0,0,0,0,0,0,78.1167199999999,0.855342465753425,0.874794520547945,0.832328767123288,63.2002975342466,75.3268470588235,"nwk"
11,79.187,80.1499999999999,78.224,2,2071-07-10,2071-07-11,190,7,1,0,0,0,0,0,0,78.1167199999999,0.847671232876712,0.86958904109589,0.822191780821918,63.2002975342466,75.3268470588235,"nwk"
12,83.867,90.32,78.5839999999999,18,2071-07-13,2071-07-30,193,7,17,6,1,0,3,2,0,78.1167199999999,0.952054794520548,0.998082191780822,0.833424657534247,63.2002975342466,75.3268470588235,"nwk"
13,80.6582352941176,85.892,78.1339999999998,17,2071-08-01,2071-08-17,212,8,10,1,0,0,0,0,0,78.1167199999999,0.883835616438356,0.975068493150685,0.819178082191781,63.2002975342466,75.3268470588235,"nwk"
14,80.402,83.6060000000001,78.152,4,2071-08-19,2071-08-22,230,8,2,0,0,0,0,0,0,78.1167199999999,0.877534246575343,0.948493150684931,0.81972602739726,63.2002975342466,75.3268470588235,"nwk"
15,79.205,80.222,78.1879999999999,2,2071-08-24,2071-08-25,235,8,1,0,0,0,0,0,0,78.1167199999999,0.847945205479452,0.873150684931507,0.821095890410959,63.2002975342466,75.3268470588235,"nwk"
16,82.572,85.9280000000001,78.512,18,2071-08-28,2071-09-14,239,8,16,2,0,0,0,0,0,78.1167199999999,0.929315068493151,0.975342465753425,0.83041095890411,63.2002975342466,75.3268470588235,"nwk"
17,81.2089999999999,83.0839999999999,79.07,6,2071-09-30,2071-10-05,272,9,5,0,0,0,0,0,0,78.1167199999999,0.898904109589041,0.938356164383562,0.845479452054794,63.2002975342466,75.3268470588235,"nwk"
18,79.7809999999999,80.3839999999998,79.1780000000001,2,2072-06-30,2072-07-01,181,6,1,0,0,0,0,0,1,78.1167199999999,0.858356164383562,0.876986301369863,0.847671232876712,63.2002975342466,75.3268470588235,"nwk"
19,79.601,80.51,78.692,2,2072-07-25,2072-07-26,206,7,1,0,0,0,0,0,0,78.1167199999999,0.855616438356164,0.88,0.835068493150685,63.2002975342466,75.3268470588235,"nwk"
20,79.661,80.78,78.9260000000001,6,2072-07-30,2072-08-04,211,7,2,0,0,0,0,0,0,78.1167199999999,0.856438356164384,0.886849315068493,0.841095890410959,63.2002975342466,75.3268470588235,"nwk"
21,80.732,84.182,78.53,9,2072-08-10,2072-08-18,222,8,6,0,0,0,0,0,0,78.1167199999999,0.885205479452055,0.958082191780822,0.831232876712329,63.2002975342466,75.3268470588235,"nwk"
22,80.222,81.122,79.3219999999999,2,2072-08-20,2072-08-21,232,8,1,0,0,0,0,0,0,78.1167199999999,0.871780821917808,0.896986301369863,0.84986301369863,63.2002975342466,75.3268470588235,"nwk"
23,81.752,82.256,81.248,2,2072-08-25,2072-08-26,237,8,2,0,0,0,0,0,0,78.1167199999999,0.910684931506849,0.924109589041096,0.900547945205479,63.2002975342466,75.3268470588235,"nwk"
24,80.15,83.3,78.4399999999999,3,2073-06-27,2073-06-29,177,6,1,0,0,0,0,0,1,78.1167199999999,0.86958904109589,0.941643835616438,0.827945205479452,63.2002975342466,75.3268470588235,"nwk"
25,84.9976666666666,91.3999999999999,78.6200000000001,54,2073-07-16,2073-09-07,196,7,48,29,4,0,15,8,0,78.1167199999999,0.967397260273973,1,0.833972602739726,63.2002975342466,75.3268470588235,"nwk"
26,80.4997142857142,81.626,79.07,7,2073-09-10,2073-09-16,252,9,6,0,0,0,0,0,0,78.1167199999999,0.87972602739726,0.908219178082192,0.845479452054794,63.2002975342466,75.3268470588235,"nwk"
27,83.2529677419355,91.094,78.1879999999999,31,2074-07-04,2074-08-03,184,7,26,8,1,0,3,1,1,78.1167199999999,0.94027397260274,0.99972602739726,0.821095890410959,63.2002975342466,75.3268470588235,"nwk"
28,83.426,88.8079999999999,78.512,19,2074-08-08,2074-08-26,219,8,16,5,0,0,2,0,0,78.1167199999999,0.944109589041096,0.995068493150685,0.83041095890411,63.2002975342466,75.3268470588235,"nwk"
29,79.457,80.456,78.512,4,2074-09-03,2074-09-06,245,9,2,0,0,0,0,0,0,78.1167199999999,0.853424657534247,0.879178082191781,0.83041095890411,63.2002975342466,75.3268470588235,"nwk"
30,78.665,79.1780000000001,78.152,2,2074-09-08,2074-09-09,250,9,0,0,0,0,0,0,0,78.1167199999999,0.834794520547945,0.847671232876712,0.81972602739726,63.2002975342466,75.3268470588235,"nwk"
31,80.693,83.6060000000001,78.314,6,2075-07-03,2075-07-08,183,7,4,0,0,0,0,0,1,78.1167199999999,0.884931506849315,0.948493150684931,0.824383561643836,63.2002975342466,75.3268470588235,"nwk"
32,83.5185714285714,89.7260000000001,78.1339999999998,21,2075-07-10,2075-07-30,190,7,18,7,0,0,2,2,0,78.1167199999999,0.945479452054795,0.997260273972603,0.819178082191781,63.2002975342466,75.3268470588235,"nwk"
33,83.0134117647059,87.818,78.4399999999999,51,2075-08-01,2075-09-20,212,8,45,15,0,0,0,0,0,78.1167199999999,0.936986301369863,0.989041095890411,0.827945205479452,63.2002975342466,75.3268470588235,"nwk"
34,82.922,83.354,82.49,2,2076-06-06,2076-06-07,157,6,2,0,0,0,0,0,1,78.1167199999999,0.933972602739726,0.943561643835616,0.928767123287671,63.2002975342466,75.3268470588235,"nwk"
35,82.14,84.128,79.8079999999999,9,2076-06-30,2076-07-08,181,6,7,0,0,0,0,0,0,78.1167199999999,0.921095890410959,0.957534246575342,0.86027397260274,63.2002975342466,75.3268470588235,"nwk"
36,79.73,80.5280000000001,78.908,3,2076-07-13,2076-07-15,194,7,1,0,0,0,0,0,0,78.1167199999999,0.856986301369863,0.880821917808219,0.840821917808219,63.2002975342466,75.3268470588235,"nwk"
37,80.472,82.472,78.422,9,2076-07-20,2076-07-28,201,7,4,0,0,0,0,0,0,78.1167199999999,0.879178082191781,0.928219178082192,0.826849315068493,63.2002975342466,75.3268470588235,"nwk"
38,81.1464285714286,84.2,78.5839999999999,14,2076-07-30,2076-08-12,211,7,9,0,0,0,0,0,0,78.1167199999999,0.897260273972603,0.958356164383562,0.833424657534247,63.2002975342466,75.3268470588235,"nwk"
39,83.15,87.008,78.4399999999999,6,2076-08-14,2076-08-19,226,8,4,2,0,0,0,0,0,78.1167199999999,0.939178082191781,0.984931506849315,0.827945205479452,63.2002975342466,75.3268470588235,"nwk"
40,80.2605714285714,83.8039999999999,78.4579999999999,14,2076-08-25,2076-09-07,237,8,8,0,0,0,0,0,0,78.1167199999999,0.873698630136986,0.951780821917808,0.828767123287671,63.2002975342466,75.3268470588235,"nwk"
41,79.187,80.204,78.17,2,2076-09-09,2076-09-10,252,9,1,0,0,0,0,0,0,78.1167199999999,0.847671232876712,0.871780821917808,0.820547945205479,63.2002975342466,75.3268470588235,"nwk"
42,81.1625,81.968,80.204,4,2077-06-05,2077-06-08,155,6,4,0,0,0,0,0,1,78.1167199999999,0.898082191780822,0.917534246575342,0.871780821917808,63.2002975342466,75.3268470588235,"nwk"
43,79.961,81.1399999999999,78.782,2,2077-06-24,2077-06-25,174,6,1,0,0,0,0,0,0,78.1167199999999,0.864383561643836,0.897260273972603,0.837808219178082,63.2002975342466,75.3268470588235,"nwk"
44,83.8535,88.0159999999999,80.6,8,2077-07-05,2077-07-12,185,7,8,3,0,0,1,0,0,78.1167199999999,0.952054794520548,0.99013698630137,0.881917808219178,63.2002975342466,75.3268470588235,"nwk"
