"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
4,302.811666666667,304.45,301.67,6,2070-07-27,2070-07-22,202,7,6,3,0,0,0,0,0,300.49,0.922465753424658,0.96986301369863,0.877808219178082,289.663323287671,299.051339869281,"ny"
5,303.432692307692,306.99,300.86,26,2070-08-26,2070-08-01,212,8,26,15,6,0,2,1,0,300.49,0.944109589041096,0.996164383561644,0.840821917808219,289.663323287671,299.051339869281,"ny"
6,302.013333333333,302.27,301.79,3,2070-09-25,2070-09-23,265,9,3,0,0,0,0,0,0,300.49,0.894246575342466,0.906849315068493,0.883013698630137,289.663323287671,299.051339869281,"ny"
7,300.9,301.24,300.56,2,2071-06-08,2071-06-07,157,6,2,0,0,0,0,0,1,300.49,0.842739726027397,0.858356164383562,0.826301369863014,289.663323287671,299.051339869281,"ny"
8,301.7275,302.49,301.06,4,2071-06-13,2071-06-10,160,6,4,0,0,0,0,0,0,300.49,0.87972602739726,0.913424657534247,0.85041095890411,289.663323287671,299.051339869281,"ny"
9,303.56,304.86,300.71,12,2071-07-01,2071-06-20,170,6,12,9,0,0,0,0,0,300.49,0.947945205479452,0.976986301369863,0.834246575342466,289.663323287671,299.051339869281,"ny"
10,303.64875,305.93,300.94,8,2071-07-11,2071-07-04,184,7,8,5,1,0,0,0,0,300.49,0.94986301369863,0.989315068493151,0.844657534246575,289.663323287671,299.051339869281,"ny"
11,302.193333333333,302.59,301.66,3,2071-07-18,2071-07-16,196,7,3,0,0,0,0,0,0,300.49,0.903561643835616,0.916712328767123,0.877534246575343,289.663323287671,299.051339869281,"ny"
12,304.886,307.11,302.77,5,2071-07-29,2071-07-25,205,7,5,5,2,0,1,1,0,300.49,0.976986301369863,0.996438356164384,0.921917808219178,289.663323287671,299.051339869281,"ny"
13,304.036451612903,307.56,301.26,31,2071-08-31,2071-08-01,212,8,31,25,9,0,6,1,0,300.49,0.959452054794521,0.999178082191781,0.86054794520548,289.663323287671,299.051339869281,"ny"
14,301.5575,302.17,300.94,4,2071-09-10,2071-09-07,249,9,4,0,0,0,0,0,0,300.49,0.872602739726027,0.902191780821918,0.844657534246575,289.663323287671,299.051339869281,"ny"
15,300.9875,301.33,300.56,4,2071-09-17,2071-09-14,256,9,4,0,0,0,0,0,0,300.49,0.846301369863014,0.863287671232877,0.826301369863014,289.663323287671,299.051339869281,"ny"
16,303.527692307692,305.08,301.37,13,2072-06-27,2072-06-15,166,6,13,12,0,0,0,0,1,300.49,0.946301369863014,0.981643835616438,0.865753424657534,289.663323287671,299.051339869281,"ny"
17,302.938333333333,306.69,300.86,18,2072-07-16,2072-06-29,180,6,18,9,3,0,1,1,0,300.49,0.926027397260274,0.995342465753425,0.840821917808219,289.663323287671,299.051339869281,"ny"
18,300.855,301.08,300.63,2,2072-07-28,2072-07-27,208,7,2,0,0,0,0,0,0,300.49,0.83972602739726,0.851780821917808,0.83013698630137,289.663323287671,299.051339869281,"ny"
