"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
76,82.634,83.228,82.0399999999999,2,2078-09-02,2078-09-03,244,9,2,0,0,0,0,0,0,81.2119999999999,0.861095890410959,0.875616438356164,0.845479452054794,61.7239819178082,78.6224117647059,"nwk"
77,82.238,84.0919999999999,81.23,3,2078-09-21,2078-09-23,263,9,3,0,0,0,0,0,0,81.2119999999999,0.848767123287671,0.898082191780822,0.823287671232877,61.7239819178082,78.6224117647059,"nwk"
78,82.904,83.4260000000001,82.3819999999999,2,2078-09-28,2078-09-29,270,9,2,0,0,0,0,0,0,81.2119999999999,0.868493150684931,0.87972602739726,0.853972602739726,61.7239819178082,78.6224117647059,"nwk"
79,84.191,84.272,84.11,2,2079-05-31,2079-06-01,150,5,2,0,0,0,0,0,1,81.2119999999999,0.901095890410959,0.903561643835616,0.899178082191781,61.7239819178082,78.6224117647059,"nwk"
80,89.3878571428571,96.71,81.662,14,2079-07-04,2079-07-17,184,7,14,11,7,1,6,5,0,81.2119999999999,0.98,1,0.835616438356164,61.7239819178082,78.6224117647059,"nwk"
81,86.24,88.124,83.372,3,2079-07-21,2079-07-23,201,7,3,2,0,0,0,0,0,81.2119999999999,0.938904109589041,0.966027397260274,0.878630136986301,61.7239819178082,78.6224117647059,"nwk"
82,82.526,83.7319999999999,81.68,3,2079-07-27,2079-07-29,207,7,3,0,0,0,0,0,0,81.2119999999999,0.856712328767123,0.88986301369863,0.835890410958904,61.7239819178082,78.6224117647059,"nwk"
83,86.3816,92.012,82.9579999999999,15,2079-07-31,2079-08-14,211,7,15,10,2,0,2,0,0,81.2119999999999,0.941369863013699,0.994246575342466,0.87013698630137,61.7239819178082,78.6224117647059,"nwk"
84,83.5209090909091,85.874,81.59,11,2079-08-17,2079-08-27,228,8,11,1,0,0,0,0,0,81.2119999999999,0.881917808219178,0.933424657534247,0.833972602739726,61.7239819178082,78.6224117647059,"nwk"
85,84.74,86.288,82.994,5,2079-08-29,2079-09-02,240,8,5,2,0,0,0,0,0,81.2119999999999,0.912602739726027,0.94,0.870684931506849,61.7239819178082,78.6224117647059,"nwk"
86,85.289,86.486,84.0919999999999,2,2079-09-04,2079-09-05,246,9,2,1,0,0,0,0,0,81.2119999999999,0.921643835616438,0.944109589041096,0.898082191780822,61.7239819178082,78.6224117647059,"nwk"
1,83.228,84.038,82.4179999999999,2,2070-06-03,2070-06-04,153,6,2,0,0,0,0,0,1,81.44672,0.875616438356164,0.898904109589041,0.852602739726027,62.0297846575342,78.7958588235294,"phil"
2,83.654,84.902,82.238,3,2070-06-17,2070-06-19,167,6,3,0,0,0,0,0,0,81.44672,0.888493150684932,0.915068493150685,0.847671232876712,62.0297846575342,78.7958588235294,"phil"
3,82.373,82.886,81.86,2,2070-06-29,2070-06-30,179,6,2,0,0,0,0,0,0,81.44672,0.851506849315068,0.865205479452055,0.837260273972603,62.0297846575342,78.7958588235294,"phil"
