"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
45,304.996666666667,306.35,304.24,3,2078-06-21,2078-06-19,169,6,3,3,1,0,0,0,1,302.1802,0.94986301369863,0.966301369863014,0.938630136986301,287.168723287671,297.554954248366,"balt"
46,306.355,307.73,304.98,2,2078-07-12,2078-07-11,191,7,2,2,1,0,0,0,0,302.1802,0.966301369863014,0.978630136986301,0.94986301369863,287.168723287671,297.554954248366,"balt"
47,304.21,304.31,304.11,2,2078-08-01,2078-07-31,211,7,2,2,0,0,0,0,0,302.1802,0.938082191780822,0.94027397260274,0.937260273972603,287.168723287671,297.554954248366,"balt"
48,302.84,303.08,302.6,2,2078-08-11,2078-08-10,221,8,2,1,0,0,0,0,0,302.1802,0.913698630136986,0.918082191780822,0.910684931506849,287.168723287671,297.554954248366,"balt"
49,304.28,305.56,303,2,2078-08-14,2078-08-13,224,8,2,2,1,0,0,0,0,302.1802,0.94,0.956712328767123,0.915616438356164,287.168723287671,297.554954248366,"balt"
50,306.556,308.47,305.57,5,2078-08-21,2078-08-17,228,8,5,5,5,1,0,0,0,302.1802,0.968493150684931,0.984931506849315,0.957260273972603,287.168723287671,297.554954248366,"balt"
51,303.085,303.66,302.41,4,2078-08-26,2078-08-23,234,8,4,3,0,0,0,0,0,302.1802,0.918082191780822,0.92958904109589,0.907671232876712,287.168723287671,297.554954248366,"balt"
52,303.71,304.28,303.14,2,2079-05-25,2079-05-24,143,5,2,2,0,0,0,0,1,302.1802,0.93041095890411,0.94,0.919178082191781,287.168723287671,297.554954248366,"balt"
53,306.785,308.04,305.53,2,2079-05-29,2079-05-28,147,5,2,2,2,0,0,0,0,302.1802,0.97013698630137,0.981095890410959,0.955890410958904,287.168723287671,297.554954248366,"balt"
54,305.074,306.59,303.87,5,2079-06-12,2079-06-08,158,6,5,5,2,0,0,0,0,302.1802,0.95013698630137,0.968767123287671,0.932054794520548,287.168723287671,297.554954248366,"balt"
55,305.453636363636,307.72,302.5,11,2079-07-23,2079-07-13,193,7,11,9,8,0,0,0,0,302.1802,0.954520547945205,0.978356164383562,0.909041095890411,287.168723287671,297.554954248366,"balt"
56,304.48,305.98,303.04,6,2079-08-03,2079-07-29,209,7,6,6,2,0,0,0,0,302.1802,0.942465753424658,0.962191780821918,0.916712328767123,287.168723287671,297.554954248366,"balt"
57,306.653333333333,309.88,303.01,6,2079-08-13,2079-08-08,219,8,6,6,4,2,2,0,0,302.1802,0.969041095890411,0.994794520547945,0.915890410958904,287.168723287671,297.554954248366,"balt"
58,302.525,302.73,302.32,2,2079-09-04,2079-09-03,245,9,2,1,0,0,0,0,0,302.1802,0.909041095890411,0.912328767123288,0.905205479452055,287.168723287671,297.554954248366,"balt"
59,304.15,305.79,302.27,8,2079-09-16,2079-09-09,251,9,8,6,3,0,0,0,0,302.1802,0.937260273972603,0.96,0.904109589041096,287.168723287671,297.554954248366,"balt"
1,300.668,303.14,298.87,10,2070-06-22,2070-06-13,163,6,7,2,0,0,0,0,1,298.7704,0.906301369863014,0.975890410958904,0.823835616438356,290.483498630137,297.220470588235,"ny"
2,300.632,302.52,298.86,15,2070-07-09,2070-06-25,175,6,12,0,0,0,0,0,0,298.7704,0.904109589041096,0.966301369863014,0.823561643835616,290.483498630137,297.220470588235,"ny"
3,300.1925,300.8,299.38,4,2070-07-14,2070-07-11,191,7,3,0,0,0,0,0,0,298.7704,0.884657534246575,0.910958904109589,0.848493150684931,290.483498630137,297.220470588235,"ny"
4,299.73,300.22,299.24,2,2070-07-18,2070-07-17,197,7,1,0,0,0,0,0,0,298.7704,0.860821917808219,0.885205479452055,0.842465753424658,290.483498630137,297.220470588235,"ny"
5,302.4315625,305.59,299.06,32,2070-08-20,2070-07-20,200,7,30,13,2,0,5,3,0,298.7704,0.964383561643836,0.998904109589041,0.834246575342466,290.483498630137,297.220470588235,"ny"
6,299.712857142857,300.5,298.98,7,2070-08-30,2070-08-24,235,8,3,0,0,0,0,0,0,298.7704,0.86027397260274,0.89972602739726,0.82958904109589,290.483498630137,297.220470588235,"ny"
7,299.912,300.91,298.8,5,2070-09-05,2070-09-01,243,9,3,0,0,0,0,0,0,298.7704,0.87013698630137,0.917534246575342,0.820547945205479,290.483498630137,297.220470588235,"ny"
8,299.4225,299.98,298.86,4,2070-09-14,2070-09-11,253,9,2,0,0,0,0,0,0,298.7704,0.84958904109589,0.874794520547945,0.823561643835616,290.483498630137,297.220470588235,"ny"
